id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365
31901835,The Tree of Life Community,49988341,Chris,Bronx,Wakefield,40.89682,-73.84318,Private room,41,1,,,,163
23952724,Best Place to stay,121379512,Maria,Bronx,Longwood,40.82434,-73.88705,Private room,44,20,,,,0
22714327,Birth place of Hip hop in the heart of the Bronx.,167560332,Schomberg,Bronx,Hunts Point,40.81978,-73.88743,Private room,45,2,,,,0
30622293,Pvt. Room w/full bed safe & close to everything,222760631,Denise,Bronx,Throgs Neck,40.82507,-73.8204,Private room,45,3,,,,36
11320482,living affordably in prim RIVERDALE,24789838,Aljosha,Bronx,Kingsbridge,40.88599,-73.89868,Private room,45,6,,,,0
29906233,BRONX SUNNY CLEAN ROOM,224874182,Norman,Bronx,Parkchester,40.83872,-73.87149,Shared room,45,7,,,,280
28046788,Spacious bronx room for 1,211321817,Alexander,Bronx,Eastchester,40.88271,-73.83217,Private room,50,1,,,,88
21959695,Bronx hideaway,148100571,Jenny,Bronx,Soundview,40.82739,-73.88176,Entire home/apt,50,1,,,,0
21520497,Peace of mind,156396144,Vic,Bronx,Morrisania,40.82995,-73.90342,Entire home/apt,50,1,,,,0
31314329,203 E175th,115832915,David,Bronx,Mount Hope,40.8476,-73.90594,Private room,50,1,,,,0
31499813,SUNNY SAFE & COZY BRICK BEDROOM CLOSE TO NYC! <3,236014031,Jim,Bronx,Longwood,40.81624,-73.9011,Private room,50,2,,,,0
29905117,Great Master Bedroom - Like 5 Stars Hotel,224859583,Marvin,Bronx,Morrisania,40.83213,-73.90736,Private room,50,6,,,,179
18635370,Fantastic Sunny peaceful room in Riverdale,91385196,Vicdania,Bronx,North Riverdale,40.91169,-73.90564,Private room,50,365,,,,363
20783768,420 Friendly with that  Southern Charm,148958163,Charles,Bronx,Wakefield,40.89685,-73.85382,Shared room,55,1,,,,0
35232958,Coziest & magical beds behind living room curtains,265273671,Henri,Bronx,Parkchester,40.83898,-73.86492,Shared room,55,1,,,,364
34931431,Cozy Room in Gorgeous Home in Bronx Little Italy,153376583,Joseph,Bronx,Belmont,40.85413,-73.88387,Private room,55,1,,,,236
15926876,Renovated rooms. Newly furnished 5 min from nyc.,103345244,Jeff,Bronx,Kingsbridge,40.88546,-73.90526,Private room,55,1,,,,64
34848236,My available bedroom,229450463,Frank,Bronx,Pelham Bay,40.85251,-73.83254,Private room,55,2,,,,89
35804587,1BD WITH PRIVATE BATHROOM - VERY COZY & 42 INCH TV,73676969,Meezy,Bronx,Williamsbridge,40.87877,-73.85044,Private room,55,2,,,,35
35457664,Cute Attic RM with Backyard/Patio/Near Metro,23878336,Armando,Bronx,Fordham,40.87066,-73.89317,Private room,55,3,,,,89
35457028,Cozy Attic RM in Home w/Backyard/Patio/Near Metro,23878336,Armando,Bronx,Fordham,40.86947,-73.89389,Private room,55,3,,,,86
35654798,AUC Stay Room 315-3,267272502,Orfelina,Bronx,Claremont Village,40.84346,-73.90554,Private room,55,3,,,,140
36115183,Cozy warm,271667012,Dilenny,Bronx,Pelham Bay,40.85234,-73.82969,Entire home/apt,55,7,,,,179
35265039,vacation New York,265499023,Jenny,Bronx,Mount Hope,40.84607,-73.9071,Private room,55,91,,,,364
35315368,"Private Room in Bronx, close to everything!",265888743,Ruth,Bronx,Norwood,40.87066,-73.88227,Private room,56,2,,,,53
35456139,Charming Attic RM with Backyard/Porch/Near Metro,23878336,Armando,Bronx,Fordham,40.87085,-73.89318,Private room,58,3,,,,75
33303647,Rento cómoda habitación para pareja oh persona sol,250841016,Jenny,Bronx,Norwood,40.87275,-73.87978,Private room,58,5,,,,180
32792015,Elegant and convenient access,63966717,Carol,Bronx,Fordham,40.85912,-73.89254,Private room,59,3,,,,0
18685854,PEACE AND TRANQUILITY,129890157,Pauline,Bronx,Baychester,40.87192,-73.84676,Private room,60,1,,,,0
27638567,Beautiful home,208574990,Hattie,Bronx,Unionport,40.82972,-73.84957,Private room,60,1,,,,268
35601334,Large Private Room with Modern amenities,5971264,Marco,Bronx,Kingsbridge,40.86429,-73.90204,Private room,60,1,,,,83
32214585,Bronx Comfort,98868828,Natasha,Bronx,Edenwald,40.89156,-73.84197,Private room,65,1,,,,89
32343635,LARGE BEDROOM IN BRONX DOWN THE BLOCK FROM 2 TRAIN,109189054,Camille,Bronx,Wakefield,40.88805,-73.86451,Private room,65,1,,,,0
18734427,"Nice space in Norwood, NYC",112239929,Cherly,Bronx,Norwood,40.87315,-73.87925,Private room,65,1,,,,0
8756017,BronxHattan,26129793,Corey,Bronx,Fordham,40.86711,-73.89525,Private room,65,1,,,,0
29034190,The  NYC Getaway Space,9808458,Zain,Bronx,Kingsbridge,40.87072,-73.89974,Private room,65,2,,,,364
23859490,"Comfy , Cozy, New York Getaway for Travelers",9808458,Zain,Bronx,Kingsbridge,40.87287,-73.90157,Private room,65,2,,,,365
20690341,Jeanie's Casita,148074786,Jeanette,Bronx,Morrisania,40.82627,-73.90803,Private room,65,2,,,,0
28567040,Bronx House #4_3,203266238,Steve,Bronx,Morris Park,40.85362,-73.85011,Private room,65,5,,,,365
31649210,one bedroom,111586798,Percival,Bronx,Soundview,40.82121,-73.87764,Private room,65,7,,,,90
35524274,Master Room 315-B,267272502,Orfelina,Bronx,Claremont Village,40.84308,-73.90652,Private room,67,3,,,,113
13248565,COZY 1 BEDROOM APARTMENT,74489237,Carmen,Bronx,Tremont,40.84268,-73.89294,Entire home/apt,68,1,,,,0
31670237,Dominiques Homesharing  room NYC* metro*quiet*safe,310670,Vie,Bronx,Eastchester,40.88009,-73.83456,Private room,68,2,,,,364
34530998,Apartment around the park,260589412,Dorcas,Bronx,Parkchester,40.83588,-73.85819,Entire home/apt,69,5,,,,55
18078720,Cozy one bedroom Street view,124486054,Carlton,Bronx,Edenwald,40.88364,-73.83561,Private room,70,3,,,,365
9453245,Light Room In Little Italy,3784521,Matiss,Bronx,Belmont,40.85487,-73.88711,Private room,70,7,,,,0
34061095,Empty Spacious Unfurnished 1 Bedroom Apartment,7228431,Susan,Bronx,Parkchester,40.83908,-73.86042,Entire home/apt,70,93,,,,134
35003048,"In the heart of Bronx, Fordham University, Bx Zoo",109671307,Samita,Bronx,Norwood,40.8718,-73.87699,Private room,73,1,,,,180
36001548,Home Away From Home in the Bronx,270852954,Jasmine,Bronx,Westchester Square,40.83671,-73.84677,Private room,75,1,,,,363
33491517,Spacious 1-bedroom apartment in Pelham Parkway,249412015,Jamie,Bronx,Bronxdale,40.85464,-73.8672,Entire home/apt,75,1,,,,0
7087528,Private Cozy Bedroom,5476918,Joann,Bronx,Kingsbridge,40.87183,-73.90371,Private room,75,1,,,,0
3953415,LL2,295128,Carol Gloria,Bronx,Clason Point,40.81225,-73.85349,Private room,75,2,,,,349
32592405,Nice room with private living-room.,242816206,Diaby,Bronx,Longwood,40.82236,-73.90227,Private room,75,2,,,,361
32205973,Throsneck,241675405,Yolanda,Bronx,Throgs Neck,40.8154,-73.81551,Entire home/apt,75,3,,,,90
33995764,Private Master Suite.,5547103,Artur,Bronx,Parkchester,40.8353,-73.85751,Private room,75,3,,,,81
33765725,Modern Private Bath and Furnished Room Near Train,253690060,Winston,Bronx,Pelham Gardens,40.86674,-73.8428,Private room,75,5,,,,188
27405246,"Private 2 Bdrm Apt, 1 Block to Subway",34755288,Toby,Bronx,Longwood,40.81872,-73.90014,Entire home/apt,75,7,,,,0
35454551,Spacious RM in Home w/Backyard/Balcony/Near Metro,23878336,Armando,Bronx,Fordham,40.86963,-73.89465,Private room,79,3,,,,69
33803252,All the restaurants and bars you can ask for,255216752,Amaree,Bronx,Throgs Neck,40.82807,-73.82418,Entire home/apt,80,1,,,,1
30326645,Best Scenic Night View In Riverside DR NYC,198442706,Marii,Bronx,Edenwald,40.88229,-73.84295,Private room,80,1,,,,365
31670943,Nice Quite place,73676875,Jonathan,Bronx,Claremont Village,40.84381,-73.90827,Entire home/apt,80,2,,,,321
35737107,"BEAUTIFUL MINI GYM, ELEVATOR, QUEEN SIZE BEDROOM",245781620,Amina,Bronx,Kingsbridge,40.88587,-73.89865,Private room,80,4,,,,87
32860550,VIP,247212166,Issouf,Bronx,Mott Haven,40.81058,-73.9069,Private room,80,5,,,,179
10172621,Gorgeous and Sunlit 1 BR 31/1-3/1,52228249,Shy,Bronx,Bronxdale,40.85592,-73.86743,Entire home/apt,80,7,,,,0
36428186,Private house Apartment,141511069,Carolina,Bronx,Morrisania,40.83146,-73.89666,Entire home/apt,80,7,,,,71
28941589,"3 bdrm, 2 bth duplex -20 mins to midtown -32B",42226482,Monique,Bronx,Williamsbridge,40.87704,-73.86276,Entire home/apt,80,30,,,,0
16186828,Cleaning,563530,Misael,Bronx,Kingsbridge,40.86352,-73.90503,Private room,80,30,,,,365
27706786,Room with a View,208775804,Anny,Bronx,Kingsbridge,40.88354,-73.89061,Private room,85,3,,,,89
30314964,Modern NYC 2 Bedroom apt. Close to everything 34a,22641060,Wayne,Bronx,Williamsbridge,40.87821,-73.86354,Entire home/apt,85,30,,,,365
63588,LL3,295128,Carol Gloria,Bronx,Clason Point,40.81309,-73.85514,Private room,90,2,,,,349
29341038,Very comfortable and clean,28960938,Vinroy,Bronx,Unionport,40.82598,-73.85203,Private room,90,7,,,,180
28835184,Bronx Apartment,217439132,Rosalyn,Bronx,Edenwald,40.88805,-73.83248,Entire home/apt,90,15,,,,89
35597348,MODERN APARTMENT MINUTES AWAY FROM MANHATTAN,196255493,Elizabeth,Bronx,Kingsbridge,40.87277,-73.90268,Entire home/apt,95,2,,,,47
36350007,Spacious brand new 2 bedrooms apartment ##2,273354185,Lee & Luffy,Bronx,Castle Hill,40.81576,-73.84653,Entire home/apt,98,3,,,,169
6699725,Quiet room around corner fr. Subway,34914311,Sandrine,Bronx,Longwood,40.8198,-73.90341,Private room,99,1,,,,0
35877927,Private apartment in bronx ##2,35783912,Pi & Leo,Bronx,Fordham,40.86294,-73.89242,Entire home/apt,99,2,,,,343
36145564,The place is a brand new gut renovated apartment.,24304607,Scott,Bronx,Kingsbridge,40.87997,-73.90135,Private room,100,1,,,,115
33571691,RV camper for the outdoor lovers,122363368,New Roc,Bronx,Allerton,40.87268,-73.85424,Entire home/apt,100,2,,,,180
32414842,A little peace of heaven in the Bronx,238959309,Angel,Bronx,Longwood,40.82095,-73.89522,Private room,100,2,,,,179
35499352,A luxury Bronx living,170071460,Inas,Bronx,Kingsbridge,40.88531,-73.90008,Private room,100,3,,,,88
35170169,across from crotona Park pool down the block,195028276,Joan,Bronx,Claremont Village,40.83466,-73.90278,Private room,100,3,,,,365
28506595,Cute Room,8834412,Deborah,Bronx,Longwood,40.81232,-73.90299,Private room,100,3,,,,364
33218637,Private Patio and Bathroom - Two Bedroom  (Girls),40275796,Jill,Bronx,Kingsbridge,40.8704,-73.90559,Private room,100,5,,,,40
33945670,Quaint City Island.Come and enjoy our home,43332874,Margaret,Bronx,City Island,40.83959,-73.78587,Private room,100,7,,,,180
19081224,RJ's,133239401,Argelis,Bronx,Bronxdale,40.85168,-73.86659,Entire home/apt,100,7,,,,180
19823964,Fm,26800649,Christopher,Bronx,Belmont,40.85961,-73.89031,Shared room,110,1,,,,0
4216435,Cozy hideaway,1361993,Daniel,Bronx,Kingsbridge,40.88399,-73.89502,Entire home/apt,110,2,,,,0
16442834,Modern 1-bedroom apartment in Fordham,2422554,Brais,Bronx,University Heights,40.86084,-73.90288,Entire home/apt,110,7,,,,40
20235591,Spacious Studio with computer desk,144200262,Anna,Bronx,North Riverdale,40.90734,-73.90137,Private room,119,3,,,,0
34941506,Place to be( 3bedroom apartment),263266237,Amoyiem,Bronx,Allerton,40.8688,-73.84726,Private room,120,2,,,,84
36085870,The Game Room Place,188453457,Denise,Bronx,Claremont Village,40.84037,-73.8998,Private room,122,1,,,,166
17664413,Bx Apartment,45671454,Vii,Bronx,Olinville,40.88438,-73.86397,Private room,125,1,,,,0
16287895,Cozy apartment in the Norwood section of the bronx,106544984,Maritza,Bronx,Norwood,40.87583,-73.87737,Private room,125,1,,,,0
16333541,Luxury Apartment Located in Riverdale.,66375835,Don,Bronx,North Riverdale,40.90154,-73.89791,Entire home/apt,125,7,,,,89
36350210,"Cozy brand new 3 bedrooms apartment, HugeSpace ##3",273354185,Lee & Luffy,Bronx,Castle Hill,40.81733,-73.84807,Entire home/apt,128,2,,,,167
12988898,,71552588,Andrea,Bronx,Fordham,40.86032,-73.88493,Shared room,130,1,,,,365
16511493,You Deserve The Royal Treatment.,108433379,Percy,Bronx,Norwood,40.87692,-73.87427,Entire home/apt,130,5,,,,89
35409062,"FREE Private Parking, HOME AWAY FROM HOME",266505967,Dean,Bronx,Fordham,40.86066,-73.89883,Private room,149,1,,,,363
8324941,Charming studio apartment,43885876,Nicholas,Bronx,Pelham Bay,40.85362,-73.82949,Shared room,150,1,,,,364
33963211,Hang The World In Your Memory©   (SLEEPS 1 to 5),233986410,S,Bronx,Parkchester,40.83754,-73.85764,Private room,150,1,,,,267
35900132,Prospect ave moments from Yankee Stadium,13221575,Lorie,Bronx,Longwood,40.82519,-73.90101,Entire home/apt,150,1,,,,88
26802868,Anderson's abode,190085120,Rodney,Bronx,Morrisania,40.82823,-73.90114,Private room,150,2,,,,0
33691283,Timbuktu suits Bamako,251839479,Dieudonne,Bronx,Longwood,40.82639,-73.90517,Entire home/apt,150,2,,,,0
36109691,Modern and Beautiful Riverdale Apartment,118853924,Sayar,Bronx,North Riverdale,40.90527,-73.89707,Entire home/apt,150,30,,,,89
35062211,New Cozy Suite in Private home on quiet street .,30267389,Chandraki,Bronx,Wakefield,40.89323,-73.85215,Private room,160,2,,,,364
35384842,Artistic Private Attic w/Backyard/Near Metro,23878336,Armando,Bronx,Fordham,40.8703,-73.89313,Entire home/apt,168,3,,,,337
36243129,Brand New Private 5 bedrooms apartment ##5,35783912,Pi & Leo,Bronx,Fordham,40.86265,-73.89263,Entire home/apt,178,2,,,,89
35238986,Grand opening 25%off 3 floors all for your self,265322739,Angel,Bronx,Wakefield,40.89147,-73.84747,Entire home/apt,196,2,,,,173
22305797,Cozy bedroom in a share apartmet,65339610,Carlos,Bronx,Norwood,40.87504,-73.88476,Private room,200,3,,,,83
34544304,Artistic Home Near Metro with Backyard/Balcony,23878336,Armando,Bronx,Fordham,40.86952,-73.89447,Entire home/apt,223,3,,,,315
35428298,NYC Diamond New 5 star 2nd floor Loft 5beds 2baths,266627618,Charlene,Bronx,Wakefield,40.9026,-73.84806,Entire home/apt,288,2,,,,346
22454537,Pelham Parkways,164549734,Niara,Bronx,Pelham Gardens,40.85702,-73.83697,Private room,300,1,,,,0
28522394,The Spot,215277711,Aaron,Bronx,Van Nest,40.83988,-73.86978,Entire home/apt,300,1,,,,365
35856471,GRAND OPENING  3 levels tons of sunlights 25%off,269707834,Angel,Bronx,Wakefield,40.89198,-73.84779,Entire home/apt,309,2,,,,168
13507677,NYC 2500 sq ft home near yankee stadium/subway,29510402,Douglas,Bronx,Longwood,40.82412,-73.90266,Entire home/apt,350,7,,,,14
36283398,Dream House,174496733,Francis,Bronx,Clason Point,40.80655,-73.85093,Entire home/apt,379,3,,,,167
14231606,La Dolce Vita Apartment in Garfield,86513733,Joann,Bronx,Van Nest,40.84166,-73.86818,Entire home/apt,425,5,,,,363
27526997,"Vie's NY Unique crashpad apts sleep 14, metro*wifi",310670,Vie,Bronx,Eastchester,40.88017,-73.83574,Entire home/apt,475,2,,,,359
36199090,ROMANTIC SUNSET YACHT CRUISE & FIREWORKS,23732730,Buddy,Bronx,City Island,40.84295,-73.78433,Entire home/apt,600,1,,,,44
6557289,1 Room in a 2 Bedroom Available,7074531,Jonathan,Bronx,Longwood,40.82639,-73.90363,Private room,680,1,,,,0
36177241,VJ'S 5 HOUR YACHT TOUR,23732730,Buddy,Bronx,City Island,40.84443,-73.78497,Entire home/apt,1000,1,,,,90
36379669,Shared living space in the Bronx!,44378432,Bryan,Bronx,Pelham Bay,40.84735,-73.83095,Shared room,,1,,,,88
12422777,Large room in 3 bedroom apartment,26819014,Zuri,Brooklyn,Cypress Hills,40.67893,-73.89423,Private room,25,1,,,,0
22446205,Brooklyn clean and quiet,164456084,Roody,Brooklyn,Canarsie,40.63409,-73.89383,Private room,27,1,,,,0
21051477,"Cool, calm, and cozy.",151018315,Yvonne,Brooklyn,East New York,40.65604,-73.88426,Private room,30,1,,,,174
5181720,Bushwick Live/Work,5399418,Jennifer,Brooklyn,Bushwick,40.69092,-73.90443,Private room,30,1,,,,0
17197830,Sunny room in quiet area of Brooklyn,2204797,Vita,Brooklyn,Bushwick,40.68185,-73.90455,Private room,30,7,,,,0
35496813,"Malls, Resturants, Parks, Beaches,  Musems, Gyms",224558991,Gerry Elizabeth,Brooklyn,East New York,40.65681,-73.87854,Private room,31,1,,,,105
35667738,Fully equipped room that's 3 mins from L train!2,101970559,Sergii,Brooklyn,Bushwick,40.6922,-73.90563,Shared room,31,30,,,,333
30973590,Designed 3-person shared room next to Wyckoff Ave,10994664,Alexander,Brooklyn,Bushwick,40.69078,-73.90504,Shared room,32,30,,,,365
30974895,Spacious shared room near L-train,10994664,Alexander,Brooklyn,Bushwick,40.6915,-73.90623,Shared room,32,30,,,,355
30950573,Brooklyn 3 persons shared room close to subway,17706542,Sergey,Brooklyn,Bushwick,40.6919,-73.90626,Shared room,32,30,,,,342
30951321,Luxurious Bushwick house 3person room near subway,17706542,Sergey,Brooklyn,Bushwick,40.69101,-73.9066,Shared room,32,30,,,,330
21253000,Cozy 2-people room at Coliving in Bushwick!,10994664,Alexander,Brooklyn,Bushwick,40.69241,-73.90545,Shared room,35,30,,,,312
32607488,"2nd Floor, Room # 2 (12'x14')",244817841,Aminul,Brooklyn,East New York,40.66954,-73.89575,Private room,35,180,,,,189
34997003,Modern Skyline Penthouse Room & 20min to NYC!,18260299,Ota,Brooklyn,Bushwick,40.69316,-73.90741,Private room,37,4,,,,29
34995534,Penthouse rooftop room 20Min To Manhattan!!,18260299,Ota,Brooklyn,Bushwick,40.69457,-73.90753,Private room,37,4,,,,36
4813236,beautiful ROOFTOP apartment,24789838,Aljosha,Brooklyn,Bushwick,40.68876,-73.90824,Private room,37,17,,,,0
34256485,Chilling in Brooklyn in a cool culture vibe,258647286,Irma,Brooklyn,Brownsville,40.66242,-73.90128,Private room,38,2,,,,176
30952008,Amazing 2 person shared room close to subway!!!,17706542,Sergey,Brooklyn,Bushwick,40.69102,-73.90525,Shared room,40,30,,,,365
30975610,Gorgeous 2 people shared room with great amenities,10994664,Alexander,Brooklyn,Bushwick,40.69213,-73.90548,Shared room,40,30,,,,365
30952896,Spacious 2 person shared room high near subway,17706542,Sergey,Brooklyn,Bushwick,40.69028,-73.90563,Shared room,40,30,,,,365
30975278,Light twin room,10994664,Alexander,Brooklyn,Bushwick,40.69241,-73.90692,Shared room,40,30,,,,276
33936370,Cozy room with 3 windows.,43676525,Filip,Brooklyn,Bushwick,40.69174,-73.90811,Private room,40,30,,,,365
35718147,New room! Cute & clean. Close to train. Wood floor,128843123,Ashley,Brooklyn,East New York,40.66784,-73.88575,Private room,45,1,,,,365
36361813,Relax with simplicity!,111001956,Deborah,Brooklyn,East New York,40.65698,-73.89212,Private room,45,1,,,,363
36356804,Bright quiet and Comfortable,222559543,Carmen,Brooklyn,East New York,40.6618,-73.87908,Private room,48,2,,,,329
35995089,Private Cozy Room near Subway,164648188,Sonia,Brooklyn,East New York,40.67407,-73.88179,Private room,49,3,,,,23
36279375,"Cozy, bohemian vibe private room",220991097,Jessica,Brooklyn,East New York,40.67303,-73.88621,Private room,50,1,,,,166
22059613,Cozy room in Brooklyn,75976584,Margot,Brooklyn,Bushwick,40.68727,-73.90702,Private room,50,1,,,,0
35986504,Private Comfortable Room near Subway,164648188,Sonia,Brooklyn,East New York,40.67595,-73.87964,Private room,50,3,,,,23
22928803,Private room in artists duplex,169795562,Ariel,Brooklyn,Bushwick,40.69088,-73.90535,Private room,50,6,,,,0
13303942,Spacious Bushwick Room with 3 Large Windows,48036408,Raul,Brooklyn,Bushwick,40.68584,-73.90587,Private room,50,20,,,,0
15090815,The comfy spot away from home,89873907,Christine,Brooklyn,Cypress Hills,40.68004,-73.88709,Private room,51,3,,,,317
14086584,Cozy Cool Room in my Charming Loft,51826974,Rose,Brooklyn,Canarsie,40.63794,-73.8988,Private room,51,3,,,,365
19506829,Private Bedroom in Trendy Bushwick,61851470,Sherry,Brooklyn,Cypress Hills,40.6796,-73.90514,Private room,52,4,,,,0
32760468,Peaceful PRVT Room in Brooklyn Amenity Building,140433148,Lauren,Brooklyn,Bushwick,40.69319,-73.90547,Private room,53,30,,,,142
35543560,Sun filled 1br in the heart of Bushwick,13500337,Ian,Brooklyn,East New York,40.6666,-73.89112,Private room,55,2,,,,179
36321385,"Quiet Brooklyn Room: Gym, Pool, Sauna, Hot Tub",140433148,Lauren,Brooklyn,Bushwick,40.69283,-73.90481,Private room,55,29,,,,66
21631186,Brooklyn Vibe,93392260,Kathleen,Brooklyn,East New York,40.67271,-73.89071,Private room,55,30,,,,364
30953126,"Heavenly private room near subway line J,Z,M",17706542,Sergey,Brooklyn,Bushwick,40.69096,-73.90528,Private room,55,30,,,,365
30976138,Cozy private room in EastBushwick near  subway,10994664,Alexander,Brooklyn,Bushwick,40.6905,-73.90622,Private room,55,30,,,,340
17669561,"A cozy getaway, home away from home",57862648,Isaiah,Brooklynn,East New York,40.6613,-73.89088,Private room,60,1,,,,88
36019688,"Good Bedroom close to the Subways L,J,A,C and Z",175103962,Jay,Brooklynn,Bedford-Stuyvesant,40.68058,-73.90702,Private room,60,1,,,,152
35736834,Gorgeous Room in Chic Apartment! PRIVATE BACKYARD,10690947,Melody,Brooklynn,Bushwick,40.68787,-73.90601,Private room,60,2,,,,20
35485080,GOOD VYBZ BROOKLYN,237729032,Samuel,Brooklynn,East New York,40.67807,-73.8794,Private room,60,3,,,,365
35446948,Modern cozy stay,134378909,Roger,Brooklynn,Bedford-Stuyvesant,40.67846,-73.90803,Private room,60,3,,,,9
24120512,Live in our Bushwick Townhouse,17200390,Nabeel,Brooklynn,Bushwick,40.69211,-73.90634,Private room,60,12,,,,14
21485867,"Popular Place, Brooklyn",156068349,Maureen,Brooklyn,Brownsville,40.65732,-73.90666,Entire home/apt,62,2,,,,0
10838743,Bushwick Room & 2 Awesome Roomies,56112494,Shannon,Brooklyn,Bushwick,40.6887,-73.90598,Private room,65,2,,,,0
35678147,Artist Bedroom in BUSHWICK NEXT to L and M Train,4077292,Unue,Brooklyn,Bushwick,40.69698,-73.90774,Private room,65,3,,,,364
22829464,Marilyn private bedroom in Bushwick NEAR SUBWAYS,139490165,Melvin & Maya,Brooklyn,Bushwick,40.68425,-73.90708,Entire home/apt,66,3,,,,0
36073776,"Amazing Room! Awesome Price!
Can’t wait to meet U!",268198789,Davica,Brooklyn,Cypress Hills,40.67877,-73.86722,Private room,68,2,,,,315
35569130,Spacious Room_2,265057419,Dameon,Brooklyn,East New York,40.67072,-73.86947,Private room,68,3,,,,363
35354567,Garden Room_1,265057419,Dameon,Brooklyn,East New York,40.67201,-73.86944,Private room,70,3,,,,363
33111095,Private Comfortable Room,153356660,Johnathen,Brooklyn,Bushwick,40.69594,-73.90685,Private room,75,1,,,,83
36066155,Comfy Private Room Shared Bath/Kitchen,28891151,Kimesha,Brooklyn,East New York,40.66802,-73.88724,Private room,75,2,,,,90
21346054,"Bright, big and nice room",73856870,Laura,Brooklyn,East New York,40.666,-73.88858,Private room,75,2,,,,88
29764987,Brooklyn-Brooklyn,78080379,Liliana,Brooklyn,Bushwick,40.68944,-73.907,Private room,75,5,,,,250
283072,One bedroom sharing Bathroom,1474637,Eliza,Brooklyn,Cypress Hills,40.67889,-73.86404,Private room,75,7,,,,0
35488159,Spread Love it's Brooklyn,242361272,Alicia,Brooklyn,East New York,40.66192,-73.88213,Entire home/apt,80,1,,,,297
23354992,Sun-drenched Artist Loft,101618737,Sihan,Brooklyn,Bushwick,40.69273,-73.90719,Private room,80,3,,,,140
36112291,Fire Escape Bedroom in Artist Loft.,101618737,Sihan,Brooklyn,Bushwick,40.69191,-73.90807,Private room,80,3,,,,13
34125485,Cozy lil room in the coolest Brooklyn neighborhood,97322120,María Gabriela,Brooklyn,Bushwick,40.69026,-73.90689,Private room,80,4,,,,158
